sqft,floors,bedrooms,price
1180,1.0,3,221900.0
2570,2.0,3,538000.0
770,1.0,2,180000.0
1960,1.0,4,604000.0
1680,1.0,3,510000.0
5420,1.0,4,1225000.0
1715,2.0,3,257500.0
1060,1.0,3,291850.0
1780,1.0,3,229500.0
1890,2.0,3,323000.0
3560,1.0,3,662500.0
1160,1.0,2,468000.0
1430,1.5,3,310000.0
1370,1.0,3,400000.0
1810,1.5,5,530000.0
2950,2.0,4,650000.0
1890,2.0,3,395000.0
1600,1.5,4,485000.0
1200,1.0,2,189000.0
1250,1.0,3,230000.0
1620,1.0,4,385000.0
3050,1.0,3,2000000.0
2270,2.0,5,285000.0
1070,1.0,2,252700.0
2450,2.0,3,329000.0
1710,1.5,3,233000.0
2450,2.0,3,937000.0
1400,1.5,3,667000.0
1520,1.0,3,438000.0
2570,2.0,4,719000.0
2320,2.0,3,580500.0
1190,3.0,2,280000.0
2330,1.5,4,687500.0
1090,1.5,3,535000.0
2060,1.0,4,322500.0
2300,1.5,3,696000.0
1660,1.0,4,550000.0
2360,2.0,4,640000.0
1220,1.0,4,240000.0
2620,2.0,4,605000.0
2570,2.0,4,625000.0
4220,1.0,4,775000.0
3595,2.0,5,861990.0
1570,2.0,3,685000.0
1280,1.0,3,309000.0
3160,2.0,3,488000.0
990,1.0,3,210490.0
2290,2.0,4,785000.0
1250,1.0,3,450000.0
2753,1.0,3,1350000.0
1190,1.0,3,228000.0
3150,1.0,5,345000.0
1410,1.0,3,600000.0
1980,1.0,2,585000.0
2730,1.5,5,920000.0
2830,2.0,4,885000.0
2250,2.0,4,292500.0
2420,2.0,3,301000.0
3250,2.0,5,951000.0
1850,2.0,4,430000.0
2150,1.0,3,650000.0
1260,1.0,3,289000.0
2519,2.0,3,505000.0
1540,3.0,3,549000.0
1660,1.0,3,425000.0
2770,1.5,3,317625.0
2720,2.0,4,975000.0
2240,2.0,4,287000.0
1000,1.0,3,204000.0
3200,1.0,5,1325000.0
4770,1.0,5,1040000.0
1260,1.0,3,325000.0
2750,1.5,4,571000.0
2380,2.0,4,360000.0
1790,1.0,3,349000.0
3430,2.0,4,832500.0
1760,1.0,4,380000.0
1040,1.0,3,480000.0
1410,1.0,3,410000.0
3450,2.0,4,720000.0
2350,2.0,3,390000.0
1900,2.0,4,360000.0
2020,1.0,2,355000.0
1680,1.0,3,356000.0
960,1.0,3,315000.0
2140,2.0,3,940000.0
2660,1.5,5,305000.0
2770,2.0,3,461000.0
1610,2.0,2,215000.0
1030,2.0,2,335000.0
1980,2.0,4,243500.0
3520,2.0,5,1099880.0
1200,1.0,3,153000.0
1580,1.0,3,430000.0
1580,1.0,3,700000.0
3300,1.0,4,905000.0
1960,1.0,3,247500.0
1160,1.0,4,199000.0
1810,1.0,3,314000.0
2320,2.0,3,437500.0
2070,1.5,3,850830.0
1980,1.5,3,555000.0
2190,2.0,3,699950.0
2920,2.0,3,1088000.0
1210,1.0,3,290000.0
2340,1.0,3,375000.0
1670,1.5,3,460000.0
1240,1.0,2,188500.0
3140,2.0,4,680000.0
2030,2.0,5,470000.0
2310,2.0,4,597750.0
1260,1.0,3,570000.0
1540,1.0,3,272500.0
2080,1.0,3,329950.0
3230,2.0,4,480000.0
4380,2.0,3,740500.0
1590,3.0,3,518500.0
880,1.0,2,205425.0
1570,1.0,4,171800.0
1610,1.5,4,535000.0
2400,1.0,3,660000.0
1450,1.0,3,391500.0
770,1.0,2,395000.0
2100,1.5,4,445000.0
2910,2.0,3,770000.0
2750,1.5,4,1450000.0
2100,1.0,3,445000.0
2160,1.0,4,260000.0
2320,2.0,5,822500.0
2070,2.0,4,430000.0
1060,1.0,3,212000.0
2010,1.0,4,660500.0
3950,1.5,3,784000.0
2010,2.0,3,453246.0
2140,3.0,4,675000.0
1320,1.0,3,199000.0
2020,1.0,4,220000.0
2590,1.0,4,452000.0
1190,1.0,2,382500.0
1170,3.0,3,519950.0
1110,1.0,2,665000.0
2820,1.0,5,527700.0
1610,1.0,3,205000.0
1060,1.0,3,420000.0
2030,1.0,4,500000.0
3670,2.0,4,921500.0
2550,2.0,4,890000.0
2420,2.0,2,430000.0
2260,1.0,5,258000.0
1430,1.0,3,511000.0
1360,2.0,3,532170.0
1110,1.5,3,560000.0
1250,1.0,3,282950.0
5180,2.0,4,2250000.0
700,1.0,1,350000.0
1180,1.0,3,215000.0
3960,2.0,5,650000.0
2640,1.0,4,320000.0
1270,1.5,3,247000.0
1760,1.0,4,320000.0
2060,1.0,5,255000.0
1780,1.0,3,438000.0
3400,2.0,3,900000.0
1910,1.0,3,441000.0
2020,1.0,3,420000.0
1580,1.0,3,370000.0
1340,1.0,2,269950.0
2680,2.0,4,807100.0
2680,1.0,3,653000.0
1370,1.0,3,371500.0
1560,1.0,3,284000.0
2160,1.0,3,272000.0
1340,1.5,3,313000.0
3880,2.0,4,917500.0
2590,2.0,4,673000.0
1120,2.0,3,425000.0
1970,1.0,5,399950.0
1220,1.0,3,385000.0
1950,1.0,3,269950.0
1350,1.0,2,330000.0
1670,2.0,3,260000.0
2380,1.5,4,470000.0
2440,2.0,4,589000.0
1050,2.0,2,163500.0
3130,2.0,4,835000.0
4090,1.0,5,1095000.0
1490,1.0,4,269000.0
1900,2.0,3,560000.0
1330,1.5,4,615000.0
2230,1.0,3,585188.0
1650,1.0,3,305000.0
